L,p,S_package,sem_package,S_srn,srn_precision,delta,within_combined_unc
6,0.10,1.473290,0.034966,1.45,0.05,0.023290,true
6,0.15,1.147306,0.033167,1.15,0.05,-0.002694,true
6,0.20,0.835567,0.026407,0.95,0.05,-0.114433,false
6,0.25,0.705716,0.023165,0.70,0.05,0.005716,true
6,0.30,0.534600,0.021963,0.55,0.05,-0.015400,true
6,0.40,0.290580,0.016196,0.35,0.05,-0.059420,true
6,0.50,0.181792,0.012260,0.22,0.05,-0.038208,true
8,0.10,1.847774,0.041475,1.90,0.05,-0.052226,true
8,0.15,1.397248,0.038878,1.45,0.05,-0.052752,true
8,0.20,1.014233,0.029539,1.20,0.05,-0.185767,false
8,0.25,0.774284,0.028639,0.80,0.05,-0.025716,true
8,0.30,0.600999,0.024556,0.60,0.05,0.000999,true
8,0.40,0.305624,0.014462,0.37,0.05,-0.064376,true
8,0.50,0.180565,0.012722,0.23,0.05,-0.049435,true
10,0.10,2.232816,0.048057,2.25,0.05,-0.017184,true
10,0.15,1.532295,0.049128,1.60,0.05,-0.067705,true
10,0.20,1.092561,0.033222,1.25,0.05,-0.157439,false
10,0.25,0.786648,0.025436,0.85,0.05,-0.063352,true
10,0.30,0.600898,0.024224,0.62,0.05,-0.019102,true
10,0.40,0.329502,0.016105,0.38,0.05,-0.050498,true
10,0.50,0.182271,0.012820,0.24,0.05,-0.057729,true
12,0.10,2.588728,0.049716,2.60,0.05,-0.011272,true
12,0.15,1.740235,0.049354,1.80,0.05,-0.059765,true
12,0.20,1.251314,0.035136,1.35,0.05,-0.098686,true
12,0.25,0.822602,0.027912,0.88,0.05,-0.057398,true
12,0.30,0.583373,0.022164,0.65,0.05,-0.066627,true
12,0.40,0.353598,0.015393,0.39,0.05,-0.036402,true
12,0.50,0.166824,0.011157,0.24,0.05,-0.073176,false
