L,p,S1_bits,precision
6,0.10,1.45,0.05
6,0.15,1.15,0.05
6,0.20,0.95,0.05
6,0.25,0.70,0.05
6,0.30,0.55,0.05
6,0.40,0.35,0.05
6,0.50,0.22,0.05
8,0.10,1.90,0.05
8,0.15,1.45,0.05
8,0.20,1.20,0.05
8,0.25,0.80,0.05
8,0.30,0.60,0.05
8,0.40,0.37,0.05
8,0.50,0.23,0.05
10,0.10,2.25,0.05
10,0.15,1.60,0.05
10,0.20,1.25,0.05
10,0.25,0.85,0.05
10,0.30,0.62,0.05
10,0.40,0.38,0.05
10,0.50,0.24,0.05
12,0.10,2.60,0.05
12,0.15,1.80,0.05
12,0.20,1.35,0.05
12,0.25,0.88,0.05
12,0.30,0.65,0.05
12,0.40,0.39,0.05
12,0.50,0.24,0.05
